일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/09/20","63000","-100","-0.16","63800","64700","63000","32746056","2086233666488","376096300650000","5969782550"
"2024/09/19","63100","-1300","-2.02","64000","64400","62200","49402713","3115926466558","376693278905000","5969782550"
"2024/09/13","64400","-1900","-2.87","65000","65500","64300","25045135","1621747052400","384453996220000","5969782550"
"2024/09/12","66300","1400","2.16","66000","66600","65200","35884106","2369440968156","395796583065000","5969782550"
"2024/09/11","64900","-1300","-1.96","65100","65500","64200","35809707","2325181296712","387438887495000","5969782550"
"2024/09/10","66200","-1300","-1.93","67000","67300","66000","30651376","2041161645484","395199604810000","5969782550"
"2024/09/09","67500","-1400","-2.03","66900","68200","66600","23263298","1566504915737","402960322125000","5969782550"
"2024/09/06","68900","-100","-0.14","69100","69700","68000","19022299","1309833642247","411318017695000","5969782550"
"2024/09/05","69000","-1000","-1.43","70100","71200","69000","25686769","1795890039418","411914995950000","5969782550"
"2024/09/04","70000","-2500","-3.45","69800","71100","69800","27366563","1923751777154","417884778500000","5969782550"
"2024/09/03","72500","-1900","-2.55","74100","74300","72500","16314599","1195017081270","432809234875000","5969782550"
"2024/09/02","74400","100","0.13","74500","74700","73500","12641376","938130139986","444151821720000","5969782550"
"2024/08/30","74300","300","0.41","74400","75000","74100","16358520","1217838630548","443554843465000","5969782550"
"2024/08/29","74000","-2400","-3.14","73600","74700","73500","16884479","1250517121400","441763908700000","5969782550"
"2024/08/28","76400","600","0.79","75800","76400","75400","9794514","743267480799","456091386820000","5969782550"
"2024/08/27","75800","-300","-0.39","75700","76500","75600","11130145","845521021636","452509517290000","5969782550"
"2024/08/26","76100","-1600","-2.06","78100","78200","76000","15655938","1200212317200","454300452055000","5969782550"
"2024/08/23","77700","-600","-0.77","77700","78400","77500","9420306","733115152500","463852104135000","5969782550"
"2024/08/22","78300","0","0.00","78700","78900","77800","8149101","637688676000","467433973665000","5969782550"
"2024/08/21","78300","-600","-0.76","77900","78600","77800","7805598","610445256200","467433973665000","5969782550"
"2024/08/20","78900","600","0.77","79500","79800","78700","10683836","846450905406","471015843195000","5969782550"
